team,GW6 Predicted goals ,GW6 Average Predicted Goals,GW6 Difference verus average,GW7 Predicted goals ,GW7 Average Predicted Goals,GW7 Difference verus average,GW8Predicted goals ,GW8 Average Predicted Goals,GW8 Difference verus average,GW9 Predicted goals ,GW9 Average Predicted Goals,GW9 Difference verus average,GW10 Predicted goals ,GW10 Average Predicted Goals,GW10 Difference verus average,,Average over 5 GWs
Arsenal,1.72,1.59,1.08,1.34,1.47,0.91,2.24,1.36,1.65,1.75,1.49,1.18,0.00,1.29,0.00,,0.962334722
Aston Villa,1.78,1.59,1.12,1.39,1.47,0.94,0.90,1.36,0.66,1.39,1.49,0.93,1.33,1.29,1.03,,0.935506903
Brighton,2.28,1.59,1.44,0.72,1.47,0.49,1.11,1.36,0.82,1.19,1.49,0.80,0.60,1.29,0.47,,0.80314499
Burnley,1.07,1.59,0.67,1.32,1.47,0.90,1.25,1.36,0.92,1.24,1.49,0.84,0.61,1.29,0.48,,0.759788663
Chelsea,1.72,1.59,1.08,1.93,1.47,1.32,1.48,1.36,1.09,1.77,1.49,1.19,1.61,1.29,1.25,,1.185122867
Crystal Palace,1.99,1.59,1.25,1.07,1.47,0.73,1.12,1.36,0.82,1.43,1.49,0.96,0.86,1.29,0.66,,0.885739364
Everton,1.61,1.59,1.01,1.21,1.47,0.82,1.26,1.36,0.92,1.84,1.49,1.24,1.97,1.29,1.53,,1.102948205
Fulham,1.06,1.59,0.67,2.28,1.47,1.55,0.88,1.36,0.65,0.99,1.49,0.67,0.60,1.29,0.46,,0.797972385
Leeds Utd,2.38,1.59,1.50,1.40,1.47,0.95,1.75,1.36,1.29,1.59,1.49,1.07,1.83,1.29,1.42,,1.244279208
Leicester City,1.37,1.59,0.86,2.18,1.47,1.48,1.16,1.36,0.85,0.98,1.49,0.66,2.21,1.29,1.71,,1.115051665
Liverpool,2.28,1.59,1.43,2.68,1.47,1.82,1.04,1.36,0.76,2.39,1.49,1.61,2.12,1.29,1.64,,1.453979057
Manchester City,2.63,1.59,1.66,1.47,1.47,1.00,1.68,1.36,1.23,1.57,1.49,1.06,3.10,1.29,2.40,,1.470549342
Manchester Utd,2.01,1.59,1.27,1.79,1.47,1.22,1.49,1.36,1.09,4.08,1.49,2.74,2.22,1.29,1.72,,1.607202415
Newcastle Utd,0.82,1.59,0.52,1.11,1.47,0.75,1.33,1.36,0.98,1.25,1.49,0.84,0.85,1.29,0.66,,0.750583995
Sheffield Utd,0.45,1.59,0.28,0.62,1.47,0.42,0.48,1.36,0.35,1.07,1.49,0.72,1.19,1.29,0.92,,0.538492296
Southampton,1.23,1.59,0.78,1.51,1.47,1.03,1.23,1.36,0.90,1.06,1.49,0.72,1.03,1.29,0.80,,0.84383589
Tottenham,1.93,1.59,1.22,1.75,1.47,1.19,2.69,1.36,1.98,0.98,1.49,0.66,1.08,1.29,0.84,,1.176839607
West Brom,1.19,1.59,0.75,1.56,1.47,1.06,0.87,1.36,0.64,1.00,1.49,0.67,0.80,1.29,0.62,,0.747742055
West Ham Utd,0.90,1.59,0.56,0.66,1.47,0.45,2.38,1.36,1.74,0.76,1.49,0.51,1.81,1.29,1.40,,0.932416652
Wolverhampton,1.35,1.59,0.85,1.44,1.47,0.98,0.92,1.36,0.67,1.38,1.49,0.93,0.00,1.29,0.00,,0.68646972
