code,first_name,second_name,web_name,id,understat
58822,Cédric,Alves Soares,Cédric,1,847
80201,Bernd,Leno,Leno,2,181
84450,Granit,Xhaka,Xhaka,3,204
153256,Mohamed,Elneny,Elneny,4,496
156074,Rob,Holding,Holding,5,1749
167199,Thomas,Partey,Partey,6,2328
184029,Martin,Ødegaard,Ødegaard,7,2517
192895,Kieran,Tierney,Tierney,8,8089
195735,Nicolas,Pépé,Pépé,9,5656
198869,Benjamin,White,White,10,7298
205533,Eddie,Nketiah,Nketiah,11,6482
209289,Emile,Smith Rowe,Smith Rowe,12,7230
223340,Bukayo,Saka,Saka,13,7322
223723,Takehiro,Tomiyasu,Tomiyasu,14,7931
225321,Aaron,Ramsdale,Ramsdale,15,5603
226597,Gabriel,dos Santos Magalhães,Gabriel,16,5613
437626,Nuno,Varela Tavares,Tavares,17,9691
437742,Albert,Sambi Lokonga,Sambi,18,9689
444145,Gabriel,Martinelli Silva,Martinelli,19,7752
92371,Pablo,Marí Villar,Pablo Marí,20,8380
154043,Ainsley,Maitland-Niles,Maitland-Niles,21,1750
198849,Lucas,Torreira di Pascua,Torreira,22,1227
200641,Reiss,Nelson,Nelson,23,6492
224068,Matt,Turner,Turner,24,0
438098,Fábio,Ferreira Vieira,Fábio Vieira,25,0
462424,William,Saliba,Saliba,26,6888
479683,Marcus,Oliveira Alencar,Marquinhos,27,0
205651,Gabriel,Fernando de Jesus,Jesus,28,5543
84583,Philippe,Coutinho Correia,Coutinho,29,488
84939,Danny,Ings,Ings,30,986
98980,Emiliano,Martínez Romero,Martínez,31,4401
101184,Calum,Chambers,Chambers,32,508
101188,Lucas,Digne,Digne,33,1823
110504,Bertrand,Traoré,Traoré,34,695
111782,Robin,Olsen,Olsen,35,6962
122775,Morgan,Sanson,Sanson,36,3696
122806,John,McGinn,McGinn,37,7723
123354,Kortney,Hause,Hause,38,6859
149484,Tyrone,Mings,Mings,39,1024
178301,Ollie,Watkins,Watkins,40,8865
184704,Marvelous,Nakamba,Nakamba,41,8040
195546,Emiliano,Buendía Stati,Buendía,42,2203
199796,Matty,Cash,Cash,43,8864
199798,Ezri,Konsa Ngoyo,Konsa,44,7726
215711,Leon,Bailey,Bailey,45,5221
230046,Douglas Luiz,Soares de Paulo,Douglas Luiz,46,6122
232653,Jacob,Ramsey,Ramsey,47,8941
478912,Carney,Chukwuemeka,Chukwuemeka,48,9356
490094,Tim,Iroegbunam,Iroegbunam,49,9554
